Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0JPW5	P49206	A0JPW5	RPS26A		T2P4.6	AT3G21490	AT2G40590	21798944:0018:HT|21798944:0397:HT
A0JPW5	Q6NPE9	A0JPW5	Q6NPE9			AT3G21490	AT4G33690	21798944:0018:HT|21798944:0397:HT
A0JPW5	Q9LVK6	A0JPW5	Q9LVK6			AT3G21490	AT3G13940	21798944:0018:HT|21798944:0397:HT
A0JQ66	Q9FGM1	A0JQ66	PYL8		MFH8.10	AT1G19040	AT5G53160	21798944:0018:HT|21798944:0397:HT
A0MEB5	C0LGW2	CYCA3-3	PAM74	F8G22.6	MTH12.9	AT1G47220	AT5G59650	24833385:0090:HT
A0MEB5	O64852	CYCA3-3	IQD6	F8G22.6		AT1G47220	AT2G26180	24833385:0090:HT
A0MEB5	Q9C7D7	CYCA3-3	Q9C7D7	F8G22.6	F28J15.3	AT1G47220	AT3G12180	24833385:0090:HT
A0MEB5	Q9LMN8	CYCA3-3	WAK3	F8G22.6	F16F4.8	AT1G47220	AT1G21240	24833385:0090:HT
A0MEB5	Q9LPN5	CYCA3-3	F18K10.26	F8G22.6		AT1G47220	AT3G10640	24833385:0090:HT
A0MEB5	Q9M092	CYCA3-3	WAKL17	F8G22.6	F6E21.20	AT1G47220	AT4G31100	24833385:0090:HT
A0MEB5	Q9SVG8	CYCA3-3	F21C20.140	F8G22.6		AT1G47220	AT4G20790	24833385:0090:HT
A1L4X0	A9X4U2	CLT2	3BETAHSD/D3	T22A6.290	T1O24.16	AT4G24460	AT2G43420	24833385:0090:HT
A1L4X0	Q1G3K7	CLT2	PRA1C	T22A6.290	T16L4.170	AT4G24460	AT4G29658	24833385:0090:HT
A1L4X0	Q29Q28	CLT2	UTR2	T22A6.290	F7H19.200	AT4G24460	AT4G23010	24833385:0090:HT
A1L4X0	Q39203	CLT2	SD22	T22A6.290	A_IG005I10.19|F5I10.19	AT4G24460	AT4G00340	24833385:0090:HT
A1L4X0	Q39241	CLT2	TRX5	T22A6.290	F27F5.21	AT4G24460	AT1G45145	24833385:0090:HT
A1L4X0	Q84MB5	CLT2	RBL11	T22A6.290	T5I5	AT4G24460	AT5G25752	24833385:0090:HT
A1L4X0	Q8GYH0	CLT2	Q8GYH0	T22A6.290	AT1G11940	AT4G24460	AT1G11940	24833385:0090:HT
A1L4X0	Q8VYS5	CLT2	TBL18	T22A6.290	T30C3.30	AT4G24460	AT4G25360	24833385:0090:HT
A1L4X0	Q940H3	CLT2	TBL36	T22A6.290	F24B22.220	AT4G24460	AT3G54260	24833385:0090:HT
A1L4X0	Q9SQT9	CLT2	AGP27	T22A6.290	F24P17.17	AT4G24460	AT3G06360	24833385:0090:HT
A2RVQ5	P29382	AGL16	SEP1	F28O9.80	F14F8_180	AT3G57230	AT5G15800	28650476:1356:LC|15805477:0018:LC
A2RVQ5	Q9SZJ6	AGL16	AGL21	F28O9.80	F20D10.60	AT3G57230	AT4G37940	28650476:1356:LC|15805477:0018:LC
A2RVT9	Q9FVU9	A2RVT9	CSN5A		F3I17.12	AT5G38890	AT1G71230	21798944:0018:HT|21798944:0397:HT
A2RVU1	Q8GWJ7	A2RVU1	CRK19		F21P8.160	AT1G31720	AT4G23270	24833385:0090:HT
A2RVU4	Q96321	A2RVU4	IMPA1		F3E22.14|T8E24.1	AT4G08910	AT3G06720	21798944:0018:HT|21798944:0397:HT
A2RVV7	Q84K25	FOLD1	Q84K25	T6A23.14		AT2G38660	AT5G11980	21798944:0018:HT|21798944:0397:HT
A7RED0	A8MR80	A7RED0	A8MR80			AT1G57760	AT4G30845	24833385:0090:HT
A7RED0	F4KIB2	A7RED0	TMN8		T30N20_110	AT1G57760	AT5G10840	24833385:0090:HT
A7RED0	Q9SR93	A7RED0	Q9SR93		T16O11.13	AT1G57760	AT3G08930	24833385:0090:HT
A7WM73	Q84WV8	HEXO1	NAPRT2	T26I12.140	F26B6.7	AT3G55260	AT2G23420	21798944:0397:HT
A8MQG7	Q38951	ASK20	PP2AA3	F4I18.7	T6J4.8	AT2G45950	AT1G13320	21798944:0018:HT|21798944:0397:HT
