Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4JD44	Q9V9N9	REEP1	Q9V9N9	CG42678|DMEL_CG42678	CG3651|DMEL_CG3651	FBGN0261564	FBGN0032974	14605208:0398:HT|14605208:0018:HT
A0A0B4JD44	Q9VNF8	REEP1	SEC23	CG42678|DMEL_CG42678	CG1250|DMEL_CG1250	FBGN0261564	FBGN0262125	14605208:0398:HT|14605208:0018:HT
A0A0B4JDA4	Q9U4U5	A0A0B4JDA4	RGL	CG42342|DMEL_CG42342	CG8865|DMEL_CG8865	FBGN0259244	FBGN0026376	15710747:0018:HT
A0A0B4JDC9	P91645	RBP	CAC	CG43073|DMEL_CG43073	CG43368	FBGN0262483	FBGN0263111	22174254:0018:LC|26274777:0018:LC|26274777:0114:LC|26274777:0096:LC
A0A0B4JDC9	Q8SX59	RBP	Q8SX59	CG43073|DMEL_CG43073	CG9083	FBGN0262483	FBGN0035077	14605208:0398:HT|14605208:0018:HT
A0A0B4JDC9	Q9VCV9	RBP	CG6972-RA	CG43073|DMEL_CG43073	CG6972|DMEL_CG6972	FBGN0262483	FBGN0039008	14605208:0018:HT
A0A0B4JDC9	Q9VDI5	RBP	Q9VDI5	CG43073|DMEL_CG43073	CG17271|DMEL_CG17271	FBGN0262483	FBGN0038829	14605208:0398:HT|14605208:0018:HT
A0A0B4JDC9	Q9VEE5	RBP	RIM	CG43073|DMEL_CG43073	CG33547|DMEL_CG33547	FBGN0262483	FBGN0053547	22174254:0018:LC|26274777:0018:LC|26274777:0096:LC
A0A0B4JDC9	Q9VLS8	RBP	Q9VLS8	CG43073|DMEL_CG43073	CG8668|DMEL_CG8668	FBGN0262483	FBGN0031988	14605208:0018:HT
A0A0B4JDC9	Q9VQW4	RBP	CG15422-RA	CG43073|DMEL_CG43073	CG15422|DMEL_CG15422	FBGN0262483	FBGN0031579	14605208:0398:HT|14605208:0018:HT
A0A0B4K651	Q9VED8	BEST1	DNASEII	CG6264|DMEL_CG6264	CG7780|DMEL_CG7780	FBGN0040238	FBGN0000477	14605208:0398:HT|14605208:0018:HT
